brand_name,snack_name,snack_url,snack_taste_test,snack_smell_test,amazon_link
3D's (12) ,Doritos 3D's Jalapeño & Cheddar ,https://www.taquitos.net/snacks.php?snack_code=240,"Taste test: You get a cheese taste at first, but after about three-quarters of a bite, the jalapeño taste kicks in.",Smell test: They smell like cheddar. ,https://www.amazon.com/stores/page/0C373ABF-8376-4771-9DDD-BEA78218C897/ref=as_li_ss_tl?store_ref=storeRecs_Instant_2592220011&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=30aa05b949c7dab8da0d8198808ac610
3D's (12) ,Doritos 3D's Nacho Cheesier ,https://www.taquitos.net/snacks.php?snack_code=242,Taste test: They taste like Doritos.,Smell test: They smell like Cheese-Its. ,https://www.amazon.com/stores/page/0C373ABF-8376-4771-9DDD-BEA78218C897/ref=as_li_ss_tl?store_ref=storeRecs_Instant_2592220011&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=30aa05b949c7dab8da0d8198808ac610
3D's (12) ,Doritos 3D's Texas Paprika Flavour ,https://www.taquitos.net/snacks.php?snack_code=350,Taste test: I like these.,"Smell test: They smell like paprika, a bit barbecuey. ",https://www.amazon.com/stores/page/0C373ABF-8376-4771-9DDD-BEA78218C897/ref=as_li_ss_tl?store_ref=storeRecs_Instant_2592220011&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=30aa05b949c7dab8da0d8198808ac610
3D's (12) ,Doritos 3D's Zesty Ranch ,https://www.taquitos.net/snacks.php?snack_code=878,"Taste test: These taste just like the earlier, Cooler Ranch variety, but with the snazzy new packaging.","Smell test: A ranchy type of smell, typical Doritos. ",https://www.amazon.com/stores/page/0C373ABF-8376-4771-9DDD-BEA78218C897/ref=as_li_ss_tl?store_ref=storeRecs_Instant_2592220011&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=30aa05b949c7dab8da0d8198808ac610
3D's (12) ,Doritos Jacked 3D Bacon Cheddar Ranch ,https://www.taquitos.net/chips/Doritos-Jacked-3D-Bacon-Cheddar-Ranch,"Taste test: The revival of the Doritos 3D brand continues, as after a decade of being dormant, we've seen in the span of four months first a Jalapeño Pepper Jack version and now this Bacon Cheddar Ranch one. The snacks had the same shape as the other recent one, not pillow-like like the old days, but instead in some sort of triangular pattern.","Smell test: A lot going on. There was something in addition to the taste corn smell, but with bacon, cheddar and ranch all (in theory) crammed in there, I couldn't really smell any of them. ",https://www.amazon.com/stores/page/0C373ABF-8376-4771-9DDD-BEA78218C897/ref=as_li_ss_tl?store_ref=storeRecs_Instant_2592220011&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=30aa05b949c7dab8da0d8198808ac610
3D's (12) ,Doritos Jacked 3D Jalapeño Pepper Jack ,https://www.taquitos.net/chips/Doritos-Jacked-3D-Jalapeno-Pepper-Jack,"Taste test: For years, Doritos 3D's have been one of those snacks that lots of people wanted to eat, but nobody could find them. Over a decade ago, we reviewed Zesty Ranch, Jalapeño Cheddar and Nacho Cheesier versions from the USA and a Texas Paprika flavor from the UK. Since then, we've had numerous folks reading those reviews and trying to find them, with no success.","Smell test: Kind of like ranch flavor, with maybe a bit of heat too. ",https://www.amazon.com/stores/page/0C373ABF-8376-4771-9DDD-BEA78218C897/ref=as_li_ss_tl?store_ref=storeRecs_Instant_2592220011&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=30aa05b949c7dab8da0d8198808ac610
3D's (12) ,Doritos Mini 3D's Zesty Ranch Go Snacks ,https://www.taquitos.net/snacks.php?snack_code=1076,Taste test: These are smaller triangular versions of 3D's with the same kind of ranch flavor as seen in the larger snack.,Smell test: Pretty strong ranchy Dorito smell. Tingled the nose when I took a big whiff. ,https://www.amazon.com/stores/page/0C373ABF-8376-4771-9DDD-BEA78218C897/ref=as_li_ss_tl?store_ref=storeRecs_Instant_2592220011&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=30aa05b949c7dab8da0d8198808ac610
3D's (12) ,Go Snacks Doritos Mini 3D's Nacho Cheesier ,https://www.taquitos.net/snacks.php?snack_code=1074,"Taste test: These are miniature versions of the 3D Nacho Cheesier snacks, there's a good amount of nacho cheese on each piece (very triangular, in fact), but not enough where you're going to get a lot of residue on your fingers.",Smell test: A slight cheese odor/aroma. ,https://www.amazon.com/stores/page/0C373ABF-8376-4771-9DDD-BEA78218C897/ref=as_li_ss_tl?store_ref=storeRecs_Instant_2592220011&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=30aa05b949c7dab8da0d8198808ac610
3D's (12) ,Matutano Bugles 3D's Conas de Maíz/Cones de Milho Sabor a Queso y Bacon/Sabor a Queijo y Bacon ,https://www.taquitos.net/snacks.php?snack_code=1970,Taste test: These are pretty much the Spanish/Portugese version of Bugles.,Smell test: Good. ,https://www.amazon.com/b/?_encoding=UTF8&camp=1789&creative=9325&linkCode=ur2&node=16322721&pf_rd_i=16310101&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=1711856062&pf_rd_r=0MVHX4BGPRAG0E9R6B5H&pf_rd_s=merchandised-search-3&pf_rd_t=101&tag=taquitosnet-sn-1-20
3D's (12) ,Ruffles 3D's BBQ Blast ,https://www.taquitos.net/snacks.php?snack_code=769,"Taste test: These hollow, uniformly shaped hexagonal processed potato snacks have a decent but not great barbecue taste.","Smell test: Smells like barbecue powder, nothing special. ",https://www.amazon.com/s/ref=as_li_ss_tl?url=search-alias=grocery&field-keywords=Ruffles&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=bf06614be7159c31175a961bb6db6432
3D's (12) ,Ruffles 3D's Maximum Cheddar flavored potato snacks ,https://www.taquitos.net/chips/Ruffles_3Ds_Cheedar,Taste test: I wasn't that impressed by the taste of these.,"Smell test: Potato-based type smell, not too strong. ",https://www.amazon.com/s/ref=as_li_ss_tl?url=search-alias=grocery&field-keywords=Ruffles&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=bf06614be7159c31175a961bb6db6432
3D's (12) ,Ruffles 3D's Supreme Sour Cream & Onion flavored potato snacks ,https://www.taquitos.net/snacks.php?snack_code=818,"Taste test: Like their new Flavor Rush brand of potato chips, there's too much powder on these potato puff snacks, which are shaped like checkered hexagons.",Smell test: Strong oniony smell. ,https://www.amazon.com/s/ref=as_li_ss_tl?url=search-alias=grocery&field-keywords=Ruffles&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=bf06614be7159c31175a961bb6db6432
Aero (10) ,Nestle Aero ,https://www.taquitos.net/candy/Nestle-Aero,"Taste test: This candy bar has smooth, rich chocolate featuring little air bubbles, making it light yet satisfying for those chocolate lovers out there.",Smell test: Chocolate-y. ,"https://www.amazon.com/s/ref=as_li_ss_tl?k=chocolate&i=grocery&crid=2E0OVDPLB3UL8&sprefix=chocoalte,aps,186&ref=nb_sb_ss_sc_2_9&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=8df4a4f789c56ab7457b524220ad1445"
Aero (10) ,Nestle Aero 2 in 1 Bubbly Milk and White Chocolate ,https://www.taquitos.net/candy/Nestle-Aero-Milk-White,"Taste test: This version of the Aero bar from Nestle's Polish division featured an all-milk-chocolate exterior arranged in six domed sections, each spanning the full width of the bar.","Smell test: Nice mild chocolate smell, mix of white and milk. ","https://www.amazon.com/s/ref=as_li_ss_tl?k=chocolate&i=grocery&crid=2E0OVDPLB3UL8&sprefix=chocoalte,aps,186&ref=nb_sb_ss_sc_2_9&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=8df4a4f789c56ab7457b524220ad1445"
Aero (10) ,Nestle Aero Bubbles ,https://www.taquitos.net/snacks.php?snack_code=2866,"Taste test: From the outside, these spherical candies had one pale green mint hemisphere and one light-colored milk chocolate hemisphere.",Smell test: Great chocolate mint smell. Just like a good mint chocolate chip ice cream. ,"https://www.amazon.com/s/ref=as_li_ss_tl?k=chocolate&i=grocery&crid=2E0OVDPLB3UL8&sprefix=chocoalte,aps,186&ref=nb_sb_ss_sc_2_9&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=8df4a4f789c56ab7457b524220ad1445"
Aero (10) ,Nestle Aero Caramel ,https://www.taquitos.net/snacks.php?snack_code=2675,Taste test: This bar was about half as narrow and twice as long as the regular Aero bars.,Smell test: Great caramel and chocolate smell. ,"https://www.amazon.com/s/ref=as_li_ss_tl?k=chocolate&i=grocery&crid=2E0OVDPLB3UL8&sprefix=chocoalte,aps,186&ref=nb_sb_ss_sc_2_9&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=8df4a4f789c56ab7457b524220ad1445"
Aero (10) ,Nestle Aero Dark Chocolate ,https://www.taquitos.net/candy/Nestle-Aero-Dark-Chocolate,"Taste test: After very much enjoying the milk chocolate and chocolate mint versions of Aero, I wanted to try this to see if they could apply the same magic to dark chocolate (which I'm generally not the biggest fan of).",Smell test: Very nice sweet dark chocolate smell. ,"https://www.amazon.com/s/ref=as_li_ss_tl?k=chocolate&i=grocery&crid=2E0OVDPLB3UL8&sprefix=chocoalte,aps,186&ref=nb_sb_ss_sc_2_9&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=8df4a4f789c56ab7457b524220ad1445"
Aero (10) ,Nestle Aero Mint ,https://www.taquitos.net/candy/Nestle-Aero-Mint,Taste test: This is the mint version of Nestle's awesome all-chocolate Aero bar.,"Smell test: Good chocolatey mint smell, more mint than Chocolate, similar to those little Andes candies. ","https://www.amazon.com/s/ref=as_li_ss_tl?k=chocolate&i=grocery&crid=2E0OVDPLB3UL8&sprefix=chocoalte,aps,186&ref=nb_sb_ss_sc_2_9&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=8df4a4f789c56ab7457b524220ad1445"
Aero (10) ,Nestlé Aero Mint Lamb ,https://www.taquitos.net/candy/Nestle-Aero-Mint-Lamb,"Taste test: This seasonal candy followed the formula of Nestle's Aero Mint bar but was shaped like a face-on view of a rather cute lamb. The exterior was all milk chocolate, except for a small hint of the mint green showing through above the lamb's left eye.",Smell test: Nice subtle chocolate mint smell. ,"https://www.amazon.com/s/ref=as_li_ss_tl?k=chocolate&i=grocery&crid=2E0OVDPLB3UL8&sprefix=chocoalte,aps,186&ref=nb_sb_ss_sc_2_9&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=8df4a4f789c56ab7457b524220ad1445"
Aero (10) ,Nestlé Aero Mousse ,https://www.taquitos.net/candy/Nestle-Aero-Mousse,Taste test: After very much enjoying the caramel version of Aero Mousse — one of the best candy bars ever — I was eager to see how this all-chocolate version would measure up.,Smell test: Great chocolate smell. ,"https://www.amazon.com/s/ref=as_li_ss_tl?k=chocolate&i=grocery&crid=2E0OVDPLB3UL8&sprefix=chocoalte,aps,186&ref=nb_sb_ss_sc_2_9&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=8df4a4f789c56ab7457b524220ad1445"
